predict,truth
16.46572263,16.2890037
10.49708154,12.10507402
9.63948555,9.123595208
42.35774861,45.20336564
6.063413449,10.56351603
26.36772349,25.11742521
7.934872992,9.223282894
51.87905549,49.26247185
7.861187715,9.319324989
13.37012477,18.30644393
14.93407756,38.37999244
20.18018027,23.73339046
21.94836558,21.85317698
5.702605711,6.683519508
13.89020059,15.38028712
15.19813631,18.08290127
13.18788191,11.70208378
23.01956829,30.032197
12.05044388,11.53901575
30.12463135,26.25502255
46.46724392,38.58014992
17.4608159,17.68559481
36.43282565,29.38449769
42.2909006,43.53687234
50.76684115,46.40513717
12.18658186,13.59666157
52.19937304,45.12502238
17.48030047,17.18451804
66.92157596,70.03549044
17.61683835,17.47761441
25.43328788,27.43103856
11.12583075,11.67217215
17.90312419,19.30821585
6.788083222,7.345823311
35.8835797,32.91362369
18.01685272,17.2548019
36.44491235,49.21638906
6.404842364,8.178266337
8.748970179,7.382694672
29.22451131,23.0440133
47.88742336,37.98273055
11.52937088,10.53562343
36.89477084,54.88199277
9.903385738,13.09337226
25.34278329,24.33803385
